,code,voivodeship,year,sex,age,rate
1516,2600000,ŚWIĘTOKRZYSKIE,2014,total,30-39,73.5
1517,2800000,WARMIŃSKO-MAZURSKIE,2014,total,30-39,74.1
1518,3000000,WIELKOPOLSKIE,2014,total,30-39,82.2
1519,3200000,ZACHODNIOPOMORSKIE,2014,total,30-39,77.1
1520,200000,DOLNOŚLĄSKIE,2015,total,30-39,82.1
1521,400000,KUJAWSKO-POMORSKIE,2015,total,30-39,81.3
1522,600000,LUBELSKIE,2015,total,30-39,78.8
1523,800000,LUBUSKIE,2015,total,30-39,81.5
1524,1000000,ŁÓDZKIE,2015,total,30-39,82.2
1525,1200000,MAŁOPOLSKIE,2015,total,30-39,78.9
1526,1400000,MAZOWIECKIE,2015,total,30-39,86.0
1527,1600000,OPOLSKIE,2015,total,30-39,81.6
1528,1800000,PODKARPACKIE,2015,total,30-39,70.5
1529,2000000,PODLASKIE,2015,total,30-39,81.4
1530,2200000,POMORSKIE,2015,total,30-39,82.0
1531,2400000,ŚLĄSKIE,2015,total,30-39,81.6
1532,2600000,ŚWIĘTOKRZYSKIE,2015,total,30-39,75.2
1533,2800000,WARMIŃSKO-MAZURSKIE,2015,total,30-39,75.0
1534,3000000,WIELKOPOLSKIE,2015,total,30-39,84.5
1535,3200000,ZACHODNIOPOMORSKIE,2015,total,30-39,79.1
1536,200000,DOLNOŚLĄSKIE,2016,total,30-39,84.4
1537,400000,KUJAWSKO-POMORSKIE,2016,total,30-39,79.9
1538,600000,LUBELSKIE,2016,total,30-39,77.9
1539,800000,LUBUSKIE,2016,total,30-39,80.8
1540,1000000,ŁÓDZKIE,2016,total,30-39,84.6
1541,1200000,MAŁOPOLSKIE,2016,total,30-39,80.1
1542,1400000,MAZOWIECKIE,2016,total,30-39,85.2
1543,1600000,OPOLSKIE,2016,total,30-39,81.4
1544,1800000,PODKARPACKIE,2016,total,30-39,75.6
1545,2000000,PODLASKIE,2016,total,30-39,82.6
1546,2200000,POMORSKIE,2016,total,30-39,83.2
1547,2400000,ŚLĄSKIE,2016,total,30-39,83.3
1548,2600000,ŚWIĘTOKRZYSKIE,2016,total,30-39,76.0
1549,2800000,WARMIŃSKO-MAZURSKIE,2016,total,30-39,75.1
1550,3000000,WIELKOPOLSKIE,2016,total,30-39,82.4
1551,3200000,ZACHODNIOPOMORSKIE,2016,total,30-39,81.0
1552,200000,DOLNOŚLĄSKIE,2017,total,30-39,84.5
1553,400000,KUJAWSKO-POMORSKIE,2017,total,30-39,78.3
1554,600000,LUBELSKIE,2017,total,30-39,78.1
1555,800000,LUBUSKIE,2017,total,30-39,82.6
1556,1000000,ŁÓDZKIE,2017,total,30-39,85.7
1557,1200000,MAŁOPOLSKIE,2017,total,30-39,80.4
1558,1400000,MAZOWIECKIE,2017,total,30-39,86.8
1559,1600000,OPOLSKIE,2017,total,30-39,82.0
1560,1800000,PODKARPACKIE,2017,total,30-39,76.6
1561,2000000,PODLASKIE,2017,total,30-39,83.2
1562,2200000,POMORSKIE,2017,total,30-39,84.3
1563,2400000,ŚLĄSKIE,2017,total,30-39,84.1
1564,2600000,ŚWIĘTOKRZYSKIE,2017,total,30-39,76.3
1565,2800000,WARMIŃSKO-MAZURSKIE,2017,total,30-39,76.8
1566,3000000,WIELKOPOLSKIE,2017,total,30-39,85.0
1567,3200000,ZACHODNIOPOMORSKIE,2017,total,30-39,80.7
1568,200000,DOLNOŚLĄSKIE,2018,total,30-39,85.2
1569,400000,KUJAWSKO-POMORSKIE,2018,total,30-39,80.4
1570,600000,LUBELSKIE,2018,total,30-39,79.2
1571,800000,LUBUSKIE,2018,total,30-39,81.5
1572,1000000,ŁÓDZKIE,2018,total,30-39,85.7
1573,1200000,MAŁOPOLSKIE,2018,total,30-39,81.1
1574,1400000,MAZOWIECKIE,2018,total,30-39,86.4
1575,1600000,OPOLSKIE,2018,total,30-39,83.3
1576,1800000,PODKARPACKIE,2018,total,30-39,75.3
1577,2000000,PODLASKIE,2018,total,30-39,84.4
1578,2200000,POMORSKIE,2018,total,30-39,85.7
1579,2400000,ŚLĄSKIE,2018,total,30-39,83.9
1580,2600000,ŚWIĘTOKRZYSKIE,2018,total,30-39,75.7
1581,2800000,WARMIŃSKO-MAZURSKIE,2018,total,30-39,75.4
1582,3000000,WIELKOPOLSKIE,2018,total,30-39,86.3
1583,3200000,ZACHODNIOPOMORSKIE,2018,total,30-39,82.8
1584,200000,DOLNOŚLĄSKIE,2019,total,30-39,87.3
1585,400000,KUJAWSKO-POMORSKIE,2019,total,30-39,81.8
1586,600000,LUBELSKIE,2019,total,30-39,78.9
1587,800000,LUBUSKIE,2019,total,30-39,83.4
1588,1000000,ŁÓDZKIE,2019,total,30-39,83.9
1589,1200000,MAŁOPOLSKIE,2019,total,30-39,83.2
1590,1400000,MAZOWIECKIE,2019,total,30-39,85.4
1591,1600000,OPOLSKIE,2019,total,30-39,83.2
1592,1800000,PODKARPACKIE,2019,total,30-39,77.3
1593,2000000,PODLASKIE,2019,total,30-39,84.8
1594,2200000,POMORSKIE,2019,total,30-39,85.1
1595,2400000,ŚLĄSKIE,2019,total,30-39,85.3
1596,2600000,ŚWIĘTOKRZYSKIE,2019,total,30-39,78.0
1597,2800000,WARMIŃSKO-MAZURSKIE,2019,total,30-39,75.5
1598,3000000,WIELKOPOLSKIE,2019,total,30-39,84.9
1599,3200000,ZACHODNIOPOMORSKIE,2019,total,30-39,82.1
1600,200000,DOLNOŚLĄSKIE,2020,total,30-39,88.8
1601,400000,KUJAWSKO-POMORSKIE,2020,total,30-39,84.7
1602,600000,LUBELSKIE,2020,total,30-39,81.1
1603,800000,LUBUSKIE,2020,total,30-39,84.6
1604,1000000,ŁÓDZKIE,2020,total,30-39,84.1
1605,1200000,MAŁOPOLSKIE,2020,total,30-39,82.9
1606,1400000,MAZOWIECKIE,2020,total,30-39,85.9
1607,1600000,OPOLSKIE,2020,total,30-39,83.8
1608,1800000,PODKARPACKIE,2020,total,30-39,79.9
1609,2000000,PODLASKIE,2020,total,30-39,84.0
1610,2200000,POMORSKIE,2020,total,30-39,85.4
1611,2400000,ŚLĄSKIE,2020,total,30-39,85.5
1612,2600000,ŚWIĘTOKRZYSKIE,2020,total,30-39,79.0
1613,2800000,WARMIŃSKO-MAZURSKIE,2020,total,30-39,77.3
1614,3000000,WIELKOPOLSKIE,2020,total,30-39,86.1
1615,3200000,ZACHODNIOPOMORSKIE,2020,total,30-39,81.6
1616,200000,DOLNOŚLĄSKIE,2021,total,30-39,88.1
1617,400000,KUJAWSKO-POMORSKIE,2021,total,30-39,85.3
1618,600000,LUBELSKIE,2021,total,30-39,83.0
1619,800000,LUBUSKIE,2021,total,30-39,84.5
1620,1000000,ŁÓDZKIE,2021,total,30-39,85.0
1621,1200000,MAŁOPOLSKIE,2021,total,30-39,84.9
1622,1400000,MAZOWIECKIE,2021,total,30-39,88.4
1623,1600000,OPOLSKIE,2021,total,30-39,87.6
1624,1800000,PODKARPACKIE,2021,total,30-39,80.5
1625,2000000,PODLASKIE,2021,total,30-39,86.3
1626,2200000,POMORSKIE,2021,total,30-39,87.1
1627,2400000,ŚLĄSKIE,2021,total,30-39,86.9
1628,2600000,ŚWIĘTOKRZYSKIE,2021,total,30-39,81.4
1629,2800000,WARMIŃSKO-MAZURSKIE,2021,total,30-39,83.7
1630,3000000,WIELKOPOLSKIE,2021,total,30-39,89.0
1631,3200000,ZACHODNIOPOMORSKIE,2021,total,30-39,84.2
1632,200000,DOLNOŚLĄSKIE,2022,total,30-39,88.1
1633,400000,KUJAWSKO-POMORSKIE,2022,total,30-39,88.0
1634,600000,LUBELSKIE,2022,total,30-39,82.7
1635,800000,LUBUSKIE,2022,total,30-39,84.5
1636,1000000,ŁÓDZKIE,2022,total,30-39,89.1
1637,1200000,MAŁOPOLSKIE,2022,total,30-39,85.0
1638,1400000,MAZOWIECKIE,2022,total,30-39,89.1
1639,1600000,OPOLSKIE,2022,total,30-39,87.8
1640,1800000,PODKARPACKIE,2022,total,30-39,79.7
1641,2000000,PODLASKIE,2022,total,30-39,87.9
1642,2200000,POMORSKIE,2022,total,30-39,89.7
1643,2400000,ŚLĄSKIE,2022,total,30-39,87.1
1644,2600000,ŚWIĘTOKRZYSKIE,2022,total,30-39,83.3
1645,2800000,WARMIŃSKO-MAZURSKIE,2022,total,30-39,83.9
1646,3000000,WIELKOPOLSKIE,2022,total,30-39,87.4
1647,3200000,ZACHODNIOPOMORSKIE,2022,total,30-39,86.2
1648,200000,DOLNOŚLĄSKIE,2023,total,30-39,87.6
1649,400000,KUJAWSKO-POMORSKIE,2023,total,30-39,88.7
1650,600000,LUBELSKIE,2023,total,30-39,85.9
1651,800000,LUBUSKIE,2023,total,30-39,88.2
1652,1000000,ŁÓDZKIE,2023,total,30-39,87.2
1653,1200000,MAŁOPOLSKIE,2023,total,30-39,86.8
1654,1400000,MAZOWIECKIE,2023,total,30-39,90.2
1655,1600000,OPOLSKIE,2023,total,30-39,86.6
1656,1800000,PODKARPACKIE,2023,total,30-39,81.6
1657,2000000,PODLASKIE,2023,total,30-39,86.4
1658,2200000,POMORSKIE,2023,total,30-39,91.9
1659,2400000,ŚLĄSKIE,2023,total,30-39,86.9
1660,2600000,ŚWIĘTOKRZYSKIE,2023,total,30-39,82.6
1661,2800000,WARMIŃSKO-MAZURSKIE,2023,total,30-39,81.3
1662,3000000,WIELKOPOLSKIE,2023,total,30-39,86.3
1663,3200000,ZACHODNIOPOMORSKIE,2023,total,30-39,87.0
1664,200000,DOLNOŚLĄSKIE,2024,total,30-39,88.3
1665,400000,KUJAWSKO-POMORSKIE,2024,total,30-39,85.3
1666,600000,LUBELSKIE,2024,total,30-39,87.8
1667,800000,LUBUSKIE,2024,total,30-39,86.5
1668,1000000,ŁÓDZKIE,2024,total,30-39,86.0
1669,1200000,MAŁOPOLSKIE,2024,total,30-39,88.6
1670,1400000,MAZOWIECKIE,2024,total,30-39,90.2
1671,1600000,OPOLSKIE,2024,total,30-39,88.8
1672,1800000,PODKARPACKIE,2024,total,30-39,80.5
1673,2000000,PODLASKIE,2024,total,30-39,83.7
1674,2200000,POMORSKIE,2024,total,30-39,91.1
1675,2400000,ŚLĄSKIE,2024,total,30-39,88.5
1676,2600000,ŚWIĘTOKRZYSKIE,2024,total,30-39,82.7
1677,2800000,WARMIŃSKO-MAZURSKIE,2024,total,30-39,84.1
1678,3000000,WIELKOPOLSKIE,2024,total,30-39,87.2
1679,3200000,ZACHODNIOPOMORSKIE,2024,total,30-39,86.1
1680,200000,DOLNOŚLĄSKIE,2010,males,30-39,83.5
1681,400000,KUJAWSKO-POMORSKIE,2010,males,30-39,87.1
1682,600000,LUBELSKIE,2010,males,30-39,81.5
1683,800000,LUBUSKIE,2010,males,30-39,87.0
1684,1000000,ŁÓDZKIE,2010,males,30-39,82.4
1685,1200000,MAŁOPOLSKIE,2010,males,30-39,85.2
1686,1400000,MAZOWIECKIE,2010,males,30-39,89.5
1687,1600000,OPOLSKIE,2010,males,30-39,85.2
1688,1800000,PODKARPACKIE,2010,males,30-39,77.8
1689,2000000,PODLASKIE,2010,males,30-39,81.8
1690,2200000,POMORSKIE,2010,males,30-39,85.7
1691,2400000,ŚLĄSKIE,2010,males,30-39,91.1
1692,2600000,ŚWIĘTOKRZYSKIE,2010,males,30-39,81.3
1693,2800000,WARMIŃSKO-MAZURSKIE,2010,males,30-39,82.7
1694,3000000,WIELKOPOLSKIE,2010,males,30-39,87.8
1695,3200000,ZACHODNIOPOMORSKIE,2010,males,30-39,82.5
1696,200000,DOLNOŚLĄSKIE,2011,males,30-39,82.9
1697,400000,KUJAWSKO-POMORSKIE,2011,males,30-39,85.1
1698,600000,LUBELSKIE,2011,males,30-39,82.2
1699,800000,LUBUSKIE,2011,males,30-39,87.5
1700,1000000,ŁÓDZKIE,2011,males,30-39,84.8
1701,1200000,MAŁOPOLSKIE,2011,males,30-39,82.6
1702,1400000,MAZOWIECKIE,2011,males,30-39,90.0
1703,1600000,OPOLSKIE,2011,males,30-39,87.9
1704,1800000,PODKARPACKIE,2011,males,30-39,76.2
1705,2000000,PODLASKIE,2011,males,30-39,84.2
1706,2200000,POMORSKIE,2011,males,30-39,87.0
1707,2400000,ŚLĄSKIE,2011,males,30-39,89.3
1708,2600000,ŚWIĘTOKRZYSKIE,2011,males,30-39,82.1
1709,2800000,WARMIŃSKO-MAZURSKIE,2011,males,30-39,82.2
1710,3000000,WIELKOPOLSKIE,2011,males,30-39,88.8
1711,3200000,ZACHODNIOPOMORSKIE,2011,males,30-39,83.8
1712,200000,DOLNOŚLĄSKIE,2012,males,30-39,83.3
1713,400000,KUJAWSKO-POMORSKIE,2012,males,30-39,85.4
1714,600000,LUBELSKIE,2012,males,30-39,83.6
1715,800000,LUBUSKIE,2012,males,30-39,85.7
1716,1000000,ŁÓDZKIE,2012,males,30-39,84.6
1717,1200000,MAŁOPOLSKIE,2012,males,30-39,83.1
1718,1400000,MAZOWIECKIE,2012,males,30-39,89.4
1719,1600000,OPOLSKIE,2012,males,30-39,85.5
1720,1800000,PODKARPACKIE,2012,males,30-39,76.2
1721,2000000,PODLASKIE,2012,males,30-39,84.2
1722,2200000,POMORSKIE,2012,males,30-39,87.9
1723,2400000,ŚLĄSKIE,2012,males,30-39,88.6
1724,2600000,ŚWIĘTOKRZYSKIE,2012,males,30-39,81.1
1725,2800000,WARMIŃSKO-MAZURSKIE,2012,males,30-39,78.2
1726,3000000,WIELKOPOLSKIE,2012,males,30-39,90.1
1727,3200000,ZACHODNIOPOMORSKIE,2012,males,30-39,84.8
1728,200000,DOLNOŚLĄSKIE,2013,males,30-39,84.8
1729,400000,KUJAWSKO-POMORSKIE,2013,males,30-39,83.5
1730,600000,LUBELSKIE,2013,males,30-39,83.6
1731,800000,LUBUSKIE,2013,males,30-39,84.8
1732,1000000,ŁÓDZKIE,2013,males,30-39,83.6
1733,1200000,MAŁOPOLSKIE,2013,males,30-39,84.2
1734,1400000,MAZOWIECKIE,2013,males,30-39,89.2
1735,1600000,OPOLSKIE,2013,males,30-39,86.2
1736,1800000,PODKARPACKIE,2013,males,30-39,75.2
1737,2000000,PODLASKIE,2013,males,30-39,84.4
1738,2200000,POMORSKIE,2013,males,30-39,87.3
1739,2400000,ŚLĄSKIE,2013,males,30-39,88.9
1740,2600000,ŚWIĘTOKRZYSKIE,2013,males,30-39,80.2
1741,2800000,WARMIŃSKO-MAZURSKIE,2013,males,30-39,79.6
1742,3000000,WIELKOPOLSKIE,2013,males,30-39,90.2
1743,3200000,ZACHODNIOPOMORSKIE,2013,males,30-39,85.5
1744,200000,DOLNOŚLĄSKIE,2014,males,30-39,88.8
1745,400000,KUJAWSKO-POMORSKIE,2014,males,30-39,85.1
1746,600000,LUBELSKIE,2014,males,30-39,82.8
1747,800000,LUBUSKIE,2014,males,30-39,85.0
1748,1000000,ŁÓDZKIE,2014,males,30-39,85.8
1749,1200000,MAŁOPOLSKIE,2014,males,30-39,86.6
1750,1400000,MAZOWIECKIE,2014,males,30-39,90.6
1751,1600000,OPOLSKIE,2014,males,30-39,88.7
1752,1800000,PODKARPACKIE,2014,males,30-39,76.7
1753,2000000,PODLASKIE,2014,males,30-39,88.5
1754,2200000,POMORSKIE,2014,males,30-39,87.7
1755,2400000,ŚLĄSKIE,2014,males,30-39,89.6
1756,2600000,ŚWIĘTOKRZYSKIE,2014,males,30-39,79.2
1757,2800000,WARMIŃSKO-MAZURSKIE,2014,males,30-39,81.1
1758,3000000,WIELKOPOLSKIE,2014,males,30-39,91.2
1759,3200000,ZACHODNIOPOMORSKIE,2014,males,30-39,84.1
1760,200000,DOLNOŚLĄSKIE,2015,males,30-39,88.6
1761,400000,KUJAWSKO-POMORSKIE,2015,males,30-39,87.3
1762,600000,LUBELSKIE,2015,males,30-39,82.8
1763,800000,LUBUSKIE,2015,males,30-39,87.0
1764,1000000,ŁÓDZKIE,2015,males,30-39,86.7
1765,1200000,MAŁOPOLSKIE,2015,males,30-39,87.2
1766,1400000,MAZOWIECKIE,2015,males,30-39,91.2
1767,1600000,OPOLSKIE,2015,males,30-39,89.6
1768,1800000,PODKARPACKIE,2015,males,30-39,79.1
1769,2000000,PODLASKIE,2015,males,30-39,85.7
1770,2200000,POMORSKIE,2015,males,30-39,90.4
1771,2400000,ŚLĄSKIE,2015,males,30-39,89.8
1772,2600000,ŚWIĘTOKRZYSKIE,2015,males,30-39,81.0
1773,2800000,WARMIŃSKO-MAZURSKIE,2015,males,30-39,82.9
1774,3000000,WIELKOPOLSKIE,2015,males,30-39,90.8
1775,3200000,ZACHODNIOPOMORSKIE,2015,males,30-39,86.9
1776,200000,DOLNOŚLĄSKIE,2016,males,30-39,90.7
1777,400000,KUJAWSKO-POMORSKIE,2016,males,30-39,86.4
1778,600000,LUBELSKIE,2016,males,30-39,83.3
1779,800000,LUBUSKIE,2016,males,30-39,85.9
1780,1000000,ŁÓDZKIE,2016,males,30-39,87.8
1781,1200000,MAŁOPOLSKIE,2016,males,30-39,86.6
1782,1400000,MAZOWIECKIE,2016,males,30-39,89.8
1783,1600000,OPOLSKIE,2016,males,30-39,90.9
1784,1800000,PODKARPACKIE,2016,males,30-39,83.1
1785,2000000,PODLASKIE,2016,males,30-39,86.4
1786,2200000,POMORSKIE,2016,males,30-39,92.0
1787,2400000,ŚLĄSKIE,2016,males,30-39,90.1
1788,2600000,ŚWIĘTOKRZYSKIE,2016,males,30-39,82.4
1789,2800000,WARMIŃSKO-MAZURSKIE,2016,males,30-39,82.5
1790,3000000,WIELKOPOLSKIE,2016,males,30-39,89.2
1791,3200000,ZACHODNIOPOMORSKIE,2016,males,30-39,88.1
1792,200000,DOLNOŚLĄSKIE,2017,males,30-39,90.6
1793,400000,KUJAWSKO-POMORSKIE,2017,males,30-39,86.9
1794,600000,LUBELSKIE,2017,males,30-39,83.2
1795,800000,LUBUSKIE,2017,males,30-39,89.5
1796,1000000,ŁÓDZKIE,2017,males,30-39,90.3
1797,1200000,MAŁOPOLSKIE,2017,males,30-39,88.2
1798,1400000,MAZOWIECKIE,2017,males,30-39,91.8
1799,1600000,OPOLSKIE,2017,males,30-39,93.8
1800,1800000,PODKARPACKIE,2017,males,30-39,85.0
1801,2000000,PODLASKIE,2017,males,30-39,88.9
1802,2200000,POMORSKIE,2017,males,30-39,92.5
1803,2400000,ŚLĄSKIE,2017,males,30-39,92.1
1804,2600000,ŚWIĘTOKRZYSKIE,2017,males,30-39,83.3
1805,2800000,WARMIŃSKO-MAZURSKIE,2017,males,30-39,84.3
1806,3000000,WIELKOPOLSKIE,2017,males,30-39,93.1
1807,3200000,ZACHODNIOPOMORSKIE,2017,males,30-39,87.1
1808,200000,DOLNOŚLĄSKIE,2018,males,30-39,90.4
1809,400000,KUJAWSKO-POMORSKIE,2018,males,30-39,90.1
1810,600000,LUBELSKIE,2018,males,30-39,85.0
1811,800000,LUBUSKIE,2018,males,30-39,89.3
1812,1000000,ŁÓDZKIE,2018,males,30-39,90.7
1813,1200000,MAŁOPOLSKIE,2018,males,30-39,87.7
1814,1400000,MAZOWIECKIE,2018,males,30-39,91.1
1815,1600000,OPOLSKIE,2018,males,30-39,92.3
1816,1800000,PODKARPACKIE,2018,males,30-39,83.6
1817,2000000,PODLASKIE,2018,males,30-39,91.4
1818,2200000,POMORSKIE,2018,males,30-39,94.8
1819,2400000,ŚLĄSKIE,2018,males,30-39,92.2
1820,2600000,ŚWIĘTOKRZYSKIE,2018,males,30-39,84.1
1821,2800000,WARMIŃSKO-MAZURSKIE,2018,males,30-39,85.0
1822,3000000,WIELKOPOLSKIE,2018,males,30-39,94.9
1823,3200000,ZACHODNIOPOMORSKIE,2018,males,30-39,91.0
1824,200000,DOLNOŚLĄSKIE,2019,males,30-39,94.0
1825,400000,KUJAWSKO-POMORSKIE,2019,males,30-39,92.1
1826,600000,LUBELSKIE,2019,males,30-39,86.7
1827,800000,LUBUSKIE,2019,males,30-39,92.2
1828,1000000,ŁÓDZKIE,2019,males,30-39,90.4
1829,1200000,MAŁOPOLSKIE,2019,males,30-39,92.8
1830,1400000,MAZOWIECKIE,2019,males,30-39,91.9
1831,1600000,OPOLSKIE,2019,males,30-39,92.9
1832,1800000,PODKARPACKIE,2019,males,30-39,86.8
1833,2000000,PODLASKIE,2019,males,30-39,92.9
1834,2200000,POMORSKIE,2019,males,30-39,94.5
1835,2400000,ŚLĄSKIE,2019,males,30-39,93.5
1836,2600000,ŚWIĘTOKRZYSKIE,2019,males,30-39,84.7
1837,2800000,WARMIŃSKO-MAZURSKIE,2019,males,30-39,84.5
1838,3000000,WIELKOPOLSKIE,2019,males,30-39,92.8
1839,3200000,ZACHODNIOPOMORSKIE,2019,males,30-39,89.8
1840,200000,DOLNOŚLĄSKIE,2020,males,30-39,92.7
1841,400000,KUJAWSKO-POMORSKIE,2020,males,30-39,93.3
1842,600000,LUBELSKIE,2020,males,30-39,89.9
1843,800000,LUBUSKIE,2020,males,30-39,90.9
1844,1000000,ŁÓDZKIE,2020,males,30-39,88.1
1845,1200000,MAŁOPOLSKIE,2020,males,30-39,92.8
1846,1400000,MAZOWIECKIE,2020,males,30-39,92.1
1847,1600000,OPOLSKIE,2020,males,30-39,92.8
1848,1800000,PODKARPACKIE,2020,males,30-39,88.7
1849,2000000,PODLASKIE,2020,males,30-39,92.9
1850,2200000,POMORSKIE,2020,males,30-39,94.5
1851,2400000,ŚLĄSKIE,2020,males,30-39,95.8
1852,2600000,ŚWIĘTOKRZYSKIE,2020,males,30-39,85.7
1853,2800000,WARMIŃSKO-MAZURSKIE,2020,males,30-39,86.3
1854,3000000,WIELKOPOLSKIE,2020,males,30-39,94.2
1855,3200000,ZACHODNIOPOMORSKIE,2020,males,30-39,89.6
1856,200000,DOLNOŚLĄSKIE,2021,males,30-39,91.9
1857,400000,KUJAWSKO-POMORSKIE,2021,males,30-39,93.0
1858,600000,LUBELSKIE,2021,males,30-39,87.8
1859,800000,LUBUSKIE,2021,males,30-39,90.8
1860,1000000,ŁÓDZKIE,2021,males,30-39,89.6
1861,1200000,MAŁOPOLSKIE,2021,males,30-39,90.9
1862,1400000,MAZOWIECKIE,2021,males,30-39,92.9
1863,1600000,OPOLSKIE,2021,males,30-39,96.8
1864,1800000,PODKARPACKIE,2021,males,30-39,89.5
1865,2000000,PODLASKIE,2021,males,30-39,90.8
1866,2200000,POMORSKIE,2021,males,30-39,95.6
1867,2400000,ŚLĄSKIE,2021,males,30-39,94.2
1868,2600000,ŚWIĘTOKRZYSKIE,2021,males,30-39,88.2
1869,2800000,WARMIŃSKO-MAZURSKIE,2021,males,30-39,91.2
1870,3000000,WIELKOPOLSKIE,2021,males,30-39,96.7
1871,3200000,ZACHODNIOPOMORSKIE,2021,males,30-39,89.8
1872,200000,DOLNOŚLĄSKIE,2022,males,30-39,93.3
1873,400000,KUJAWSKO-POMORSKIE,2022,males,30-39,93.2
1874,600000,LUBELSKIE,2022,males,30-39,86.1
1875,800000,LUBUSKIE,2022,males,30-39,93.2
1876,1000000,ŁÓDZKIE,2022,males,30-39,93.2
1877,1200000,MAŁOPOLSKIE,2022,males,30-39,92.1
1878,1400000,MAZOWIECKIE,2022,males,30-39,94.6
1879,1600000,OPOLSKIE,2022,males,30-39,91.8
1880,1800000,PODKARPACKIE,2022,males,30-39,85.9
1881,2000000,PODLASKIE,2022,males,30-39,91.4
1882,2200000,POMORSKIE,2022,males,30-39,95.6
1883,2400000,ŚLĄSKIE,2022,males,30-39,93.5
1884,2600000,ŚWIĘTOKRZYSKIE,2022,males,30-39,87.7
1885,2800000,WARMIŃSKO-MAZURSKIE,2022,males,30-39,87.5
1886,3000000,WIELKOPOLSKIE,2022,males,30-39,94.2
1887,3200000,ZACHODNIOPOMORSKIE,2022,males,30-39,90.2
1888,200000,DOLNOŚLĄSKIE,2023,males,30-39,92.9
1889,400000,KUJAWSKO-POMORSKIE,2023,males,30-39,92.1
1890,600000,LUBELSKIE,2023,males,30-39,88.5
1891,800000,LUBUSKIE,2023,males,30-39,94.6
1892,1000000,ŁÓDZKIE,2023,males,30-39,93.0
1893,1200000,MAŁOPOLSKIE,2023,males,30-39,92.8
1894,1400000,MAZOWIECKIE,2023,males,30-39,94.4
1895,1600000,OPOLSKIE,2023,males,30-39,90.3
1896,1800000,PODKARPACKIE,2023,males,30-39,90.2
1897,2000000,PODLASKIE,2023,males,30-39,90.7
1898,2200000,POMORSKIE,2023,males,30-39,96.0
1899,2400000,ŚLĄSKIE,2023,males,30-39,92.6
1900,2600000,ŚWIĘTOKRZYSKIE,2023,males,30-39,87.8
1901,2800000,WARMIŃSKO-MAZURSKIE,2023,males,30-39,87.2
1902,3000000,WIELKOPOLSKIE,2023,males,30-39,93.6
1903,3200000,ZACHODNIOPOMORSKIE,2023,males,30-39,93.9
1904,200000,DOLNOŚLĄSKIE,2024,males,30-39,93.6
1905,400000,KUJAWSKO-POMORSKIE,2024,males,30-39,91.0
1906,600000,LUBELSKIE,2024,males,30-39,92.5
1907,800000,LUBUSKIE,2024,males,30-39,92.9
1908,1000000,ŁÓDZKIE,2024,males,30-39,92.2
1909,1200000,MAŁOPOLSKIE,2024,males,30-39,94.8
1910,1400000,MAZOWIECKIE,2024,males,30-39,95.3
1911,1600000,OPOLSKIE,2024,males,30-39,91.9
1912,1800000,PODKARPACKIE,2024,males,30-39,86.9
1913,2000000,PODLASKIE,2024,males,30-39,90.0
1914,2200000,POMORSKIE,2024,males,30-39,97.1
1915,2400000,ŚLĄSKIE,2024,males,30-39,94.1
1916,2600000,ŚWIĘTOKRZYSKIE,2024,males,30-39,89.3
1917,2800000,WARMIŃSKO-MAZURSKIE,2024,males,30-39,91.2
1918,3000000,WIELKOPOLSKIE,2024,males,30-39,95.7
1919,3200000,ZACHODNIOPOMORSKIE,2024,males,30-39,96.4
1920,200000,DOLNOŚLĄSKIE,2010,females,30-39,74.0
1921,400000,KUJAWSKO-POMORSKIE,2010,females,30-39,68.1
1922,600000,LUBELSKIE,2010,females,30-39,74.7
1923,800000,LUBUSKIE,2010,females,30-39,74.4
1924,1000000,ŁÓDZKIE,2010,females,30-39,76.3
1925,1200000,MAŁOPOLSKIE,2010,females,30-39,68.6
1926,1400000,MAZOWIECKIE,2010,females,30-39,78.3
1927,1600000,OPOLSKIE,2010,females,30-39,69.5
1928,1800000,PODKARPACKIE,2010,females,30-39,63.0
1929,2000000,PODLASKIE,2010,females,30-39,77.8
1930,2200000,POMORSKIE,2010,females,30-39,71.3
1931,2400000,ŚLĄSKIE,2010,females,30-39,73.3
1932,2600000,ŚWIĘTOKRZYSKIE,2010,females,30-39,71.4
1933,2800000,WARMIŃSKO-MAZURSKIE,2010,females,30-39,71.6
1934,3000000,WIELKOPOLSKIE,2010,females,30-39,73.6
1935,3200000,ZACHODNIOPOMORSKIE,2010,females,30-39,72.5
1936,200000,DOLNOŚLĄSKIE,2011,females,30-39,76.4
1937,400000,KUJAWSKO-POMORSKIE,2011,females,30-39,65.7
1938,600000,LUBELSKIE,2011,females,30-39,75.0
1939,800000,LUBUSKIE,2011,females,30-39,75.3
1940,1000000,ŁÓDZKIE,2011,females,30-39,77.9
1941,1200000,MAŁOPOLSKIE,2011,females,30-39,70.5
1942,1400000,MAZOWIECKIE,2011,females,30-39,77.2
1943,1600000,OPOLSKIE,2011,females,30-39,70.5
1944,1800000,PODKARPACKIE,2011,females,30-39,61.9
1945,2000000,PODLASKIE,2011,females,30-39,75.3
1946,2200000,POMORSKIE,2011,females,30-39,70.9
1947,2400000,ŚLĄSKIE,2011,females,30-39,72.6
1948,2600000,ŚWIĘTOKRZYSKIE,2011,females,30-39,69.9
1949,2800000,WARMIŃSKO-MAZURSKIE,2011,females,30-39,69.2
